Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,119659,Single,Star,3886.5,Standard,2014,5,2016,2
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,92871,Single,Star,3886.65,Standard,2016,5,2018,11
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,146068,Single,Star,3887.32,Standard,2015,6,2016,3
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,79603,Married,Star,3890.87,Standard,2016,10,2017,3
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,58168,Married,Star,3890.87,Standard,2017,10,2017,3
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,123798,Married,Star,3890.96,Standard,2013,7,2017,4
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,88314,Married,Star,3891.54,Standard,2015,11,2019,11
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,125769,Married,Star,3891.58,Standard,2014,3,2020,5
201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,126787,Married,Star,3893.31,Standard,2015,4,2018,10
403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,97185,Single,Star,3895.03,Standard,2017,10,2019,3
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,99051,Married,Star,3896.57,Standard,2012,11,2018,5
806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,136510,Married,Star,3903.47,Standard,2018,5,2018,4
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,149402,Divorced,Star,3903.8,Standard,2017,5,2020,5
938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,69194,Single,Aurora,5337.35,2018 Promotion,2018,4,2016,12
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,57350,Married,Star,3906.67,Standard,2013,5,2016,4
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,151732,Single,Star,3907.03,Standard,2012,5,2018,8
834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,110942,Married,Star,3911.12,Standard,2017,3,2016,9
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,85842,Single,Star,3914.72,Standard,2014,6,2017,10
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,102971,Single,Star,3914.72,Standard,2013,2,2016,1
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,53975,Single,Star,3915.8,Standard,2016,5,2020,8
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,155148,Married,Star,3919.37,Standard,2016,5,2020,7
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,119663,Married,Star,3919.37,Standard,2016,9,2016,8
733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,56233,Married,Star,3919.37,Standard,2016,6,2017,9
758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,119705,Married,Star,3919.37,Standard,2018,6,2016,2
823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,102913,Married,Star,3919.37,Standard,2018,5,2019,11
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,110489,Married,Star,3920.51,Standard,2015,2,2018,1
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,78889,Married,Star,3921.02,Standard,2015,8,2016,8
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,84983,Married,Star,3921.02,Standard,2014,10,2017,12
869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,71414,Single,Star,3924.42,Standard,2016,11,2020,7
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,46040,Single,Star,3933.81,Standard,2014,3,2017,1
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,50756,Married,Star,3934.1,Standard,2012,11,2017,1
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,139149,Married,Star,3934.71,Standard,2017,3,2017,6
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,134930,Married,Star,3936.79,Standard,2013,12,2017,10
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,147195,Married,Star,3939.01,Standard,2014,9,2019,11
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,137057,Married,Star,3939.01,Standard,2013,11,2018,6
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,138659,Married,Star,3939.01,Standard,2012,12,2017,8
864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,89602,Married,Star,3939.01,Standard,2018,6,2016,5
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,60600,Married,Star,3954.34,Standard,2013,6,2019,11
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,131547,Married,Star,3954.34,Standard,2015,9,2020,5
461108,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,91597,Married,Star,3954.34,Standard,2018,10,2019,1
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,102973,Married,Star,3954.34,Standard,2015,8,2016,5
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,70522,Married,Star,3954.34,Standard,2016,5,2016,8
386082,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,149484,Divorced,Aurora,5391.97,2018 Promotion,2018,3,2019,8
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,143440,Married,Star,3958,Standard,2012,9,2016,3
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,61597,Single,Star,3961.59,Standard,2012,8,2017,12
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,152377,Married,Star,3963.39,Standard,2013,7,2019,4
112522,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,106271,Married,Aurora,5636.74,2018 Promotion,2018,2,2020,8
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,98716,Divorced,Star,3964.15,Standard,2012,5,2020,4
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,55257,Married,Star,3964.53,Standard,2016,2,2019,12
357549,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,114644,Single,Star,3964.73,Standard,2018,9,2016,1
330694,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,86136,Married,Aurora,6172.91,2018 Promotion,2018,2,2019,8
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,47054,Married,Star,3966.13,Standard,2012,11,2019,9
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,153233,Divorced,Star,3974.86,Standard,2013,5,2018,2
529098,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,150165,Divorced,Star,3974.86,Standard,2017,10,2018,2
265297,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,128976,Married,Star,3978.67,Standard,2018,7,2018,8
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,127046,Married,Star,3979.72,Standard,2017,5,2017,7
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,122109,Married,Star,3980.42,Standard,2013,3,2018,2
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,124682,Married,Star,3985.32,Standard,2013,1,2019,11
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,105112,Married,Star,3985.32,Standard,2013,4,2016,7
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,154797,Divorced,Star,3985.55,Standard,2016,6,2020,3
283314,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,59156,Married,Star,3991.73,Standard,2013,4,2019,4
322102,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,56500,Married,Star,3992.58,Standard,2013,8,2017,9
789157,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,128277,Single,Star,3995.36,Standard,2018,9,2018,2
654748,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,149509,Married,Star,3996.77,Standard,2017,4,2017,2
984713,Canada,Ontario,Sudbury,M5V 1G5,Female,College,83712,Single,Star,3997.48,Standard,2018,8,2018,6
114835,Canada,Ontario,Toronto,M1R 4K3,Female,Master,119665,Divorced,Star,4001.52,Standard,2017,7,2020,8
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,94268,Married,Star,4005.72,Standard,2015,3,2019,10
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,49015,Married,Star,4013.85,Standard,2013,4,2020,10
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,55223,Married,Star,4013.95,Standard,2013,3,2020,1
223587,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,111765,Married,Star,4013.96,Standard,2017,8,2019,7
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,106454,Married,Star,4014.45,Standard,2015,12,2017,5
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,109592,Married,Star,4014.45,Standard,2014,5,2018,8
566033,Canada,Ontario,Toronto,M2P 4F6,Male,College,56959,Married,Star,4015.21,Standard,2015,6,2018,10
472521,Canada,Alberta,Edmonton,T9G 1W3,Male,College,78693,Married,Aurora,6265.34,2018 Promotion,2018,3,2018,1
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,138192,Married,Star,4016.13,Standard,2016,11,2019,2
174896,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,104575,Single,Star,4016.54,Standard,2015,4,2018,9
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,77471,Divorced,Star,4019.38,Standard,2013,4,2019,1
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,77245,Divorced,Star,4019.38,Standard,2014,7,2016,5
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,143647,Married,Star,4023.81,Standard,2016,5,2019,10
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,73123,Married,Star,4023.81,Standard,2015,3,2018,10
890753,Canada,Quebec,Montreal,H2Y 2W2,Male,College,63156,Married,Star,4025.1,Standard,2017,9,2017,6
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,139982,Married,Star,4035.68,Standard,2014,2,2020,5
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,137872,Married,Star,4035.77,Standard,2017,1,2020,8
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,59745,Married,Star,4037.5,Standard,2015,11,2016,11
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,106174,Married,Star,4037.55,Standard,2015,7,2016,7
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,117010,Single,Star,4046.94,Standard,2013,3,2018,12
881142,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,97675,Single,Star,4046.94,Standard,2016,9,2020,10
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,109244,Married,Star,4048.16,Standard,2017,5,2020,10
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,87610,Married,Star,4053.37,Standard,2013,5,2017,5
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,106274,Divorced,Star,4059.57,Standard,2016,6,2017,2
967300,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,85875,Single,Aurora,6364.9,2018 Promotion,2018,3,2016,4
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,49440,Married,Star,4064.18,Standard,2013,9,2018,5
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,83663,Married,Star,4068.09,Standard,2017,2,2019,6
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,69452,Single,Star,4070.05,Standard,2014,7,2020,7
485283,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,105903,Single,Star,4072.85,Standard,2017,9,2019,8
920716,Canada,Alberta,Peace River,T9O 2W2,Female,College,146905,Single,Aurora,7098.91,2018 Promotion,2018,4,2016,3
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,150130,Married,Star,4079.13,Standard,2017,6,2016,8
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,126029,Married,Star,4083.56,Standard,2014,7,2017,7
958839,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,133622,Married,Star,4083.56,Standard,2018,8,2017,8
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,64038,Married,Star,4087.51,Standard,2015,2,2017,9
746226,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,97442,Married,Star,4089.04,Standard,2018,1,2020,10
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,89045,Single,Star,4089.46,Standard,2012,6,2017,5
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,55124,Married,Star,4090.75,Standard,2015,6,2020,12
995091,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,48806,Married,Star,4095.2,Standard,2017,9,2019,10
632793,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,84740,Single,Star,4097.37,Standard,2016,6,2017,5
912220,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,116650,Single,Star,4097.37,Standard,2013,8,2018,11
382197,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,139796,Married,Star,4100.47,Standard,2017,10,2018,7
705196,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,85529,Single,Star,4101.94,Standard,2013,11,2016,1
123094,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,152904,Married,Star,4103.85,Standard,2018,1,2016,1
366540,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,128548,Married,Aurora,7288.88,2018 Promotion,2018,3,2020,11
119488,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,74233,Single,Star,4108.26,Standard,2017,6,2018,8
287750,Canada,Ontario,Ottawa,K1F 2R2,Female,College,60781,Single,Star,4109.31,Standard,2012,8,2016,2
735846,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,131265,Married,Star,4109.79,Standard,2012,8,2017,11
606026,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,102768,Single,Star,4110.62,Standard,2015,7,2018,1
460291,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,61465,Divorced,Star,4111.2,Standard,2015,9,2016,10
743001,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,139403,Married,Star,4111.89,Standard,2017,5,2019,6
869799,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,146477,Married,Star,4111.89,Standard,2015,3,2018,3
520321,Canada,Ontario,London,M5B 3E4,Female,Doctor,82547,Married,Star,4112.84,Standard,2015,9,2017,6
279419,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,51956,Single,Star,4117.37,Standard,2013,7,2020,8
170585,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,133780,Single,Star,4118.59,Standard,2013,8,2020,6
188340,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,73990,Single,Star,4118.59,Standard,2017,4,2018,3
670817,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,123114,Single,Star,4118.59,Standard,2016,12,2016,11
509513,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,112223,Single,Star,4121.25,Standard,2012,12,2020,5
779247,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,106399,Married,Star,4122.57,Standard,2012,9,2020,4
111255,Canada,Quebec,Hull,J8Y 3Z5,Male,High School or Below,98107,Married,Star,4122.96,Standard,2013,3,2019,6
763061,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,69541,Married,Star,4126.61,Standard,2014,4,2016,12
766335,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,80106,Married,Aurora,7482.49,2018 Promotion,2018,2,2017,1
428919,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,65404,Divorced,Star,4139.9,Standard,2015,7,2020,10
139863,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,50143,Married,Star,4142.56,Standard,2015,10,2017,4
695755,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,79729,Married,Star,4144.87,Standard,2012,4,2020,4
355331,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,113197,Divorced,Star,4145.02,Standard,2013,7,2016,4
578837,Canada,Ontario,Toronto,P5S 6R4,Male,College,112934,Single,Star,4152.65,Standard,2012,5,2018,12
603248,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,112311,Married,Star,4157.7,Standard,2016,2,2017,9
467182,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,151985,Married,Star,4160.02,Standard,2013,12,2016,7
601407,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,140184,Married,Star,4165.17,Standard,2015,9,2019,3
700871,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,120870,Married,Star,4165.25,Standard,2015,12,2017,1
203809,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,112072,Married,Star,4165.35,Standard,2012,7,2017,10
705589,Canada,Ontario,Toronto,P1L 8X8,Female,College,131813,Single,Star,4165.99,Standard,2012,5,2018,12
354438,Canada,Quebec,Montreal,H2T 2J6,Male,College,137292,Married,Star,4167.09,Standard,2018,9,2017,2
746060,Canada,British Columbia,Victoria,V10 6T5,Male,College,70154,Married,Star,4167.09,Standard,2014,4,2019,5
469718,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,91552,Married,Star,4167.42,Standard,2013,1,2017,2
164429,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,70707,Single,Star,4169.36,Standard,2012,9,2019,9
708373,Canada,Ontario,Toronto,M2P 4F6,Female,Bachelor,137334,Single,Star,4169.36,Standard,2017,3,2016,1
225088,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,121661,Married,Star,4170.34,Standard,2015,9,2020,1
100214,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,61786,Married,Star,4170.57,Standard,2015,8,2017,11
459999,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,45826,Single,Star,4170.69,Standard,2017,9,2016,9
553936,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,76805,Single,Star,4170.69,Standard,2014,12,2016,5
268128,Canada,Ontario,Toronto,P1W 1K4,Female,High School or Below,75424,Married,Star,4177.88,Standard,2013,1,2016,6
930584,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,77914,Single,Star,4185.76,Standard,2015,7,2017,11
327796,Canada,Quebec,Quebec City,G1B 3L5,Male,College,46639,Single,Star,4191.06,Standard,2017,6,2016,7
947467,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,137486,Married,Star,4196.43,Standard,2015,2,2018,2
743510,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,57859,Single,Star,4196.65,Standard,2016,5,2019,1
580324,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,128359,Married,Star,4198.03,Standard,2013,6,2016,10
845613,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,120815,Married,Star,4198.03,Standard,2018,10,2017,1
645919,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,94411,Divorced,Aurora,7484.31,2018 Promotion,2018,3,2016,8
423324,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,145241,Divorced,Star,4200.37,Standard,2017,12,2017,3
101945,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,136880,Married,Star,4202.66,Standard,2013,11,2019,4
713636,Canada,Ontario,London,M5B 3E4,Male,Doctor,137628,Married,Star,4212.8,Standard,2014,8,2016,9
302509,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Doctor,128104,Married,Star,4213.92,Standard,2017,3,2017,5
789421,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,112696,Single,Star,4217.86,Standard,2016,11,2016,5
914255,Canada,Ontario,Toronto,M8Y 4K8,Male,College,147539,Single,Star,4217.86,Standard,2015,11,2018,9
675879,Canada,Alberta,Edmonton,T3G 6Y6,Male,Bachelor,140298,Married,Aurora,8000.55,2018 Promotion,2018,2,2017,1
404426,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,59901,Married,Star,4223.27,Standard,2014,9,2020,10
260106,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,49893,Single,Star,4228.25,Standard,2013,6,2019,12
827194,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,120320,Married,Aurora,8255.76,2018 Promotion,2018,3,2019,4
438023,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,College,112728,Married,Star,4228.73,Standard,2013,1,2020,8
397518,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,69363,Married,Star,4235.18,Standard,2018,1,2018,12
645742,Canada,Ontario,Kingston,M9K 2P4,Male,Bachelor,63327,Married,Star,4235.18,Standard,2014,8,2020,1
872932,Canada,Quebec,Montreal,H2Y 2W2,Male,High School or Below,63580,Married,Star,4236.3,Standard,2015,3,2019,8
407945,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,120920,Married,Star,4236.47,Standard,2012,12,2020,11
211714,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Doctor,151275,Married,Star,4236.84,Standard,2015,6,2018,7
410982,Canada,Ontario,Trenton,K8V 4B2,Male,Master,126217,Married,Star,4237.37,Standard,2017,2,2018,5
905213,Canada,British Columbia,Vancouver,V6E 3D9,Female,Master,78665,Married,Star,4237.37,Standard,2015,10,2016,9
147898,Canada,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,65294,Divorced,Star,4241.64,Standard,2012,8,2020,2
530105,Canada,Ontario,London,M5B 3E4,Male,College,144616,Single,Star,4242.69,Standard,2017,11,2016,2
610946,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,87167,Married,Star,4244.47,Standard,2016,12,2016,7
383108,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,83365,Married,Star,4247.68,Standard,2012,6,2019,12
836343,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,56132,Married,Star,4247.68,Standard,2017,4,2017,6
110262,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,71591,Married,Aurora,9427.68,2018 Promotion,2018,2,2017,2
585357,Canada,Quebec,Quebec City,G1B 3L5,Male,College,55037,Single,Star,4250.28,Standard,2016,10,2019,12
784804,Canada,Alberta,Banff,T4V 1D4,Female,College,50329,Single,Star,4250.28,Standard,2015,8,2020,4
719633,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,68966,Divorced,Star,4250.78,Standard,2016,12,2019,5
715764,Canada,Manitoba,Winnipeg,R3R 3T4,Male,College,66899,Single,Star,4253.28,Standard,2016,8,2018,12
753473,Canada,Ontario,Toronto,M2M 7K8,Female,Doctor,79876,Single,Star,4254.62,Standard,2013,7,2020,2
980856,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,91698,Single,Star,4254.62,Standard,2015,2,2016,2
271660,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,125506,Married,Star,4270.03,Standard,2015,4,2019,7
342980,Canada,Alberta,Peace River,T9O 2W2,Female,Bachelor,137917,Single,Aurora,19480.5,2018 Promotion,2018,2,2019,2
830547,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,48419,Single,Star,4271.2,Standard,2018,5,2016,10
264936,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,133294,Single,Star,4272.81,Standard,2013,8,2017,11
436498,Canada,Quebec,Montreal,H2T 9K8,Male,College,72625,Single,Star,4272.81,Standard,2013,11,2020,5
976513,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,136114,Married,Star,4273.59,Standard,2014,8,2018,10
828776,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,98397,Married,Star,4274.62,Standard,2017,5,2018,1
240362,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,138112,Married,Star,4276.36,Standard,2014,10,2020,5
137845,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,71725,Married,Star,4277.27,Standard,2013,6,2020,11
430569,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,124826,Married,Star,4277.56,Standard,2016,10,2020,5
317001,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,150066,Married,Star,4282.95,Standard,2018,8,2019,2
625870,Canada,Ontario,Toronto,P1J 8T7,Female,Bachelor,139422,Married,Star,4282.95,Standard,2013,8,2020,6
